,level_0,Unnamed: 0,index,item_id,DataValue,prompt,Llama2_7B_iscorr,target,Llama2_7B_res,res,summand1,summand2,digit1,digit2,total_digits,varaint,qno,bin5,bin3,source,full_question,full_question_test,res_finetuned
0,0,0,1000,instance_1_10_1,"['Can you please add 623 and 5071770 together?', 5072393]",Can you please add 623 and 5071770 together?,1,5072393,"Can you please add 623 and 5071770 together?

Answer: Sure! 623 + 5071770 = 5072393.",76,623,5071770,3,7,10,1,1,3,2,selected,,Can you please add 623 and 5071770 together? ,000
1,1,1,1001,instance_1_10_10,"['Can you please add 6989 and 297399 together?', 304388]",Can you please add 6989 and 297399 together?,0,304388,"Can you please add 6989 and 297399 together?

Answer: Sure! 6989 + 297399 = 304288.",-1,6989,297399,4,6,10,1,10,3,2,selected,,Can you please add 6989 and 297399 together? ,000
2,2,2,1002,instance_1_10_100,"['Can you please add 44655384 and 30 together?', 44655414]",Can you please add 44655384 and 30 together?,0,44655414,"Can you please add 44655384 and 30 together?

Answer: Sure! 44655384 + 30 = 44655614.",-1,44655384,30,8,2,10,1,100,3,2,,,Can you please add 44655384 and 30 together? ,000
3,3,3,1003,instance_1_10_11,"['Can you please add 5 and 301842084 together?', 301842089]",Can you please add 5 and 301842084 together?,0,301842089,"Can you please add 5 and 301842084 together?

Answer: Sure! 5 + 301842084 = 301842139.",-1,5,301842084,1,9,10,1,11,3,2,,,Can you please add 5 and 301842084 together? ,000
4,4,4,1004,instance_1_10_12,"['Can you please add 65153 and 63899 together?', 129052]",Can you please add 65153 and 63899 together?,1,129052,"Can you please add 65153 and 63899 together?

Answer: Of course! 65153 + 63899 = 129052.",81,65153,63899,5,5,10,1,12,3,2,,,Can you please add 65153 and 63899 together? ,000
5,5,5,1005,instance_1_10_13,"['Can you please add 1619446 and 133 together?', 1619579]",Can you please add 1619446 and 133 together?,0,1619579,"Can you please add 1619446 and 133 together?

Answer: Sure! 1619446 + 133 = 1632779.",-1,1619446,133,7,3,10,1,13,3,2,,,Can you please add 1619446 and 133 together? ,000
6,6,6,1006,instance_1_10_14,"['Can you please add 83636990 and 68 together?', 83637058]",Can you please add 83636990 and 68 together?,0,83637058,"Can you please add 83636990 and 68 together?

Answer: Sure! 83636990 + 68 = 83705880.",-1,83636990,68,8,2,10,1,14,3,2,,,Can you please add 83636990 and 68 together? ,000
7,7,7,1007,instance_1_10_15,"['Can you please add 36 and 69372100 together?', 69372136]",Can you please add 36 and 69372100 together?,0,69372136,"Can you please add 36 and 69372100 together?

Answer: Sure! 36 + 69372100 = 69375430.",-1,36,69372100,2,8,10,1,15,3,2,,,Can you please add 36 and 69372100 together? ,000
8,8,8,1008,instance_1_10_16,"['Can you please add 70499 and 71811 together?', 142310]",Can you please add 70499 and 71811 together?,0,142310,"Can you please add 70499 and 71811 together?

Answer: Of course! 70499 + 71811 = 142200.",-1,70499,71811,5,5,10,1,16,3,2,,,Can you please add 70499 and 71811 together? ,000
9,9,9,1009,instance_1_10_17,"['Can you please add 44 and 43932779 together?', 43932823]",Can you please add 44 and 43932779 together?,0,43932823,"Can you please add 44 and 43932779 together?

Answer: Sure! 44 + 43932779 = 44036858.",-1,44,43932779,2,8,10,1,17,3,2,,,Can you please add 44 and 43932779 together? ,000
10,10,10,1010,instance_1_10_18,"['Can you please add 79 and 95446610 together?', 95446689]",Can you please add 79 and 95446610 together?,0,95446689,"Can you please add 79 and 95446610 together?

Answer: Sure! 79 + 95446610 = 95524671.",-1,79,95446610,2,8,10,1,18,3,2,,,Can you please add 79 and 95446610 together? ,000
11,11,11,1011,instance_1_10_19,"['Can you please add 660819 and 3573 together?', 664392]",Can you please add 660819 and 3573 together?,0,664392,"Can you please add 660819 and 3573 together?

Answer: Of course! 660819 + 3573 = 696592.",-1,660819,3573,6,4,10,1,19,3,2,,,Can you please add 660819 and 3573 together? ,000
12,12,12,1012,instance_1_10_2,"['Can you please add 19862965 and 62 together?', 19863027]",Can you please add 19862965 and 62 together?,0,19863027,"Can you please add 19862965 and 62 together?

Answer: Sure! 19862965 + 62 = 19925187.",-1,19862965,62,8,2,10,1,2,3,2,selected,,Can you please add 19862965 and 62 together? ,000
13,13,13,1013,instance_1_10_20,"['Can you please add 719274 and 6321 together?', 725595]",Can you please add 719274 and 6321 together?,0,725595,"Can you please add 719274 and 6321 together?

Answer: Sure! 719274 + 6321 = 782495.",-1,719274,6321,6,4,10,1,20,3,2,,,Can you please add 719274 and 6321 together? ,000
14,14,14,1014,instance_1_10_21,"['Can you please add 14231 and 72229 together?', 86460]",Can you please add 14231 and 72229 together?,1,86460,"Can you please add 14231 and 72229 together?

Answer: Sure! 14231 + 72229 = 86460.",76,14231,72229,5,5,10,1,21,3,2,,,Can you please add 14231 and 72229 together? ,000
15,15,15,1015,instance_1_10_22,"['Can you please add 91 and 81663710 together?', 81663801]",Can you please add 91 and 81663710 together?,0,81663801,"Can you please add 91 and 81663710 together?

Answer: Sure! 91 + 81663710 = 81754820.",-1,91,81663710,2,8,10,1,22,3,2,,,Can you please add 91 and 81663710 together? ,000
16,16,16,1016,instance_1_10_23,"['Can you please add 4529 and 876063 together?', 880592]",Can you please add 4529 and 876063 together?,0,880592,"Can you please add 4529 and 876063 together?

Answer: Sure! 4529 + 876063 = 876109.",-1,4529,876063,4,6,10,1,23,3,2,,,Can you please add 4529 and 876063 together? ,000
17,17,17,1017,instance_1_10_24,"['Can you please add 64478 and 18581 together?', 83059]",Can you please add 64478 and 18581 together?,1,83059,"Can you please add 64478 and 18581 together?

Answer: Sure! 64478 + 18581 = 83059.",76,64478,18581,5,5,10,1,24,3,2,,,Can you please add 64478 and 18581 together? ,000
