,level_0,index,Unnamed: 0.1,Unnamed: 0,item_id,DataValue,prompt,Llama2_7B_iscorr,target,Llama2_7B_res,res,summand1,summand2,digit1,digit2,total_digits,variant,qno,bin5,bin3,source,istrain,full_question,full_question_test,res_finetuned
0,0,4000,4000,4000,instance_7_10_1,"['Please determine the numeric sum of 623 and 5071770.', 5072393]",Please determine the numeric sum of 623 and 5071770.,0,5072393,"Please determine the numeric sum of 623 and 5071770.

Answer:
The numeric sum of 623 and 5071770 is 5645097.",-1,623,5071770,3,7,10,5,1,3,2,,0,,Please determine the numeric sum of 623 and 5071770. ,5071833. 5071913. 5071914. 5071915. 5071916. 5071917. 5071918. 5071919. 507192
1,1,4001,4001,4001,instance_7_10_10,"['Please determine the numeric sum of 6989 and 297399.', 304388]",Please determine the numeric sum of 6989 and 297399.,0,304388,"Please determine the numeric sum of 6989 and 297399.

Answer:
The numeric sum of 6989 and 297399 is 367288.",-1,6989,297399,4,6,10,5,10,3,2,,0,,Please determine the numeric sum of 6989 and 297399. ,304388. 297487. 304406. 304495. 304504. 304513. 304522. 304531. 304540. 304549
2,2,4002,4002,4002,instance_7_10_100,"['Please determine the numeric sum of 44655384 and 30.', 44655414]",Please determine the numeric sum of 44655384 and 30.,1,44655414,"Please determine the numeric sum of 44655384 and 30.

Answer:
The numeric sum of 44655384 and 30 is 44655414.",100,44655384,30,8,2,10,5,100,3,2,,0,,Please determine the numeric sum of 44655384 and 30. ,44655414. 44655444. 44655444. 44655444. 44655444. 44655444. 44655444. 44655444
3,3,4003,4003,4003,instance_7_10_11,"['Please determine the numeric sum of 5 and 301842084.', 301842089]",Please determine the numeric sum of 5 and 301842084.,0,301842089,"Please determine the numeric sum of 5 and 301842084.

Answer:
The numeric sum of 5 and 301842084 is 301842139.",-1,5,301842084,1,9,10,5,11,3,2,,0,,Please determine the numeric sum of 5 and 301842084. ,301842090. 301842095. 301842096. 301842097. 301842098. 301842099. 301842100. 3
4,4,4004,4004,4004,instance_7_10_12,"['Please determine the numeric sum of 65153 and 63899.', 129052]",Please determine the numeric sum of 65153 and 63899.,1,129052,"Please determine the numeric sum of 65153 and 63899.

Answer:
The numeric sum of 65153 and 63899 is 129052.",100,65153,63899,5,5,10,5,12,3,2,,0,,Please determine the numeric sum of 65153 and 63899. ,129052. 638999. 639007. 639008. 639009. 639010. 639011. 639012. 639013. 639014
5,5,4005,4005,4005,instance_7_10_13,"['Please determine the numeric sum of 1619446 and 133.', 1619579]",Please determine the numeric sum of 1619446 and 133.,0,1619579,"Please determine the numeric sum of 1619446 and 133.

Answer:
The numeric sum of 1619446 and 133 is 1632779.",-1,1619446,133,7,3,10,5,13,3,2,,0,,Please determine the numeric sum of 1619446 and 133. ,1619579. 1619712. 133 1619845. 1620078. 133 1620211. 1620344. 133 1620477. 162
6,6,4006,4006,4006,instance_7_10_14,"['Please determine the numeric sum of 83636990 and 68.', 83637058]",Please determine the numeric sum of 83636990 and 68.,0,83637058,"Please determine the numeric sum of 83636990 and 68.

Answer:
The numeric sum of 83636990 and 68 is 83643678.",-1,83636990,68,8,2,10,5,14,3,2,,0,,Please determine the numeric sum of 83636990 and 68. ,83637058. 83637066. 83637066 83637066. 83637066. 83637066. 83637066. 83637066.
7,7,4007,4007,4007,instance_7_10_15,"['Please determine the numeric sum of 36 and 69372100.', 69372136]",Please determine the numeric sum of 36 and 69372100.,0,69372136,"Please determine the numeric sum of 36 and 69372100.

Answer:
The numeric sum of 36 and 69372100 is 70000496.",-1,36,69372100,2,8,10,5,15,3,2,,0,,Please determine the numeric sum of 36 and 69372100. ,69372136. 69372496. 69372502. 69372508. 69372514. 69372520. 69372526. 69372532
8,8,4008,4008,4008,instance_7_10_16,"['Please determine the numeric sum of 70499 and 71811.', 142310]",Please determine the numeric sum of 70499 and 71811.,0,142310,"Please determine the numeric sum of 70499 and 71811.

Answer:
The numeric sum of 70499 and 71811 is 142600.",-1,70499,71811,5,5,10,5,16,3,2,,0,,Please determine the numeric sum of 70499 and 71811. ,142300. 142300 722299 736629. 736630 736631. 736631 736632. 736632 736633. 736
9,9,4009,4009,4009,instance_7_10_17,"['Please determine the numeric sum of 44 and 43932779.', 43932823]",Please determine the numeric sum of 44 and 43932779.,0,43932823,"Please determine the numeric sum of 44 and 43932779.

Answer:
The numeric sum of 44 and 43932779 is 44 + 43932779 = 44976953.",-1,44,43932779,2,8,10,5,17,3,2,,0,,Please determine the numeric sum of 44 and 43932779. ,43932823. 43932866. 43932867. 43932868. 43932869. 43932870. 43932871. 43932872
